id,firstname,lastname,birthdate,country,position,foot,height
1836,Ousmane,Demb\u00e9l\u00e9,1997-05-15,France,Forward,both,178
1837,Ole,K\u00e4uper,1997-01-09,Germany,Midfielder,right,187
1838,Massimo,Coda,1988-11-10,Italy,Forward,right,184
1839,Mauro Wilney,Arambarri Rosa,1995-09-30,Uruguay,Midfielder,right,175
1840,Fahad Mosaed,Al Muwallad Al Harbi,1994-09-14,Saudi Arabia,Forward,right,168
1841,Matthieu,Udol,1996-03-20,France,Defender,left,178
1842,Daler,Kuzyaev,1993-01-15,Russia,Midfielder,right,182
1843,Baptiste,Guillaume,1995-06-16,Belgium,Forward,right,189
1844,Hakim,Ziyech,1993-03-19,Netherlands,Midfielder,left,180
1845,Timo,Letschert,1993-05-25,Netherlands,Defender,right,188
1846,Ji\u0159\u00ed,Pavlenka,1992-04-14,Czech Republic,Goalkeeper,right,196
1847,Salem Mohammed,Al Dawsari,1991-08-19,Saudi Arabia,Midfielder,right,171
1848,Alexander,Hack,1993-09-08,Germany,Defender,left,193
1849,R\u00fanar M\u00e1r,Sigurj\u00f3nsson,1990-06-18,Iceland,Midfielder,right,178
1850,Patrick,Herrmann,1991-02-12,Germany,Midfielder,right,179
1851,Sverrir Ingi,Ingason,1993-08-05,Iceland,Defender,right,188
1852,Gabriel,Boschilia,1996-03-05,Brazil,Midfielder,left,172
1853,Marco,Asensio Willemsen,1996-01-21,Spain,Midfielder,left,182
1854,Ermedin,Demirovi\u0107,1998-03-25,Bosnia-Herzegovina,Forward,right,184
1855,Arn\u00f3r Ingvi,Traustason,1993-04-30,Iceland,Midfielder,right,182
1856,Giacomo,Poluzzi,1988-02-25,Italy,Goalkeeper,left,186
1857,Erick Antonio,Pulgar Farf\u00e1n,1994-01-15,Chile,Midfielder,right,186
1858,Ville Matti,Steinmann,1995-01-08,Germany,Midfielder,right,189
1859,Felix,Eboa Eboa,1997-04-17,Cameroon,Defender,right,186
1860,Fod\u00e9,Ballo Tour\u00e9,1997-01-03,France,Defender,left,182
1861,\u00d3scar,Melendo Jim\u00e9nez,1997-08-23,Spain,Midfielder,left,167
1862,Philipp,Max,1993-09-30,Germany,Defender,left,177
1863,Iv\u00e1n,L\u00f3pez \u00c1lvarez,1994-06-29,Spain,Forward,right,174
1864,Mikel,Vesga Arruti,1993-04-08,Spain,Midfielder,left,191
1865,Santiago Lionel,Ascac\u00edbar,1997-02-25,Argentina,Midfielder,right,168
1866,Charles,D\u00edas Barbosa de Oliveira,1984-04-04,Brazil,Forward,right,179
1867,Iv\u00e1n,Villar Mart\u00ednez,1997-07-09,Spain,Goalkeeper,right,183
1868,Antonio,Sivera Salv\u00e1,1996-08-11,Spain,Goalkeeper,right,184
1869,Gaetano,Letizia,1990-06-29,Italy,Defender,right,173
1870,Vincenzo,Grifo,1993-04-07,Germany,Midfielder,right,180
1871,Adri\u00e1n,Mar\u00edn G\u00f3mez,1997-01-09,Spain,Defender,left,181
1872,Moussa,Diaby,1999-07-07,France,Forward,left,170
1873,Benito,Ram\u00edrez del Toro,1995-07-11,Spain,Midfielder,left,175
1874,Manuel,Pucciarelli,1991-06-17,Italy,Forward,right,174
1875,\u015etefan Daniel,Radu,1986-10-22,Romania,Defender,left,183
1876,\u00c1ngel Mart\u00edn,Correa,1995-03-09,Argentina,Forward,right,172
1877,Iv\u00e1n,Rodr\u00edguez del Pozo,1996-04-30,Spain,Defender,right,180
1878,Ergys,Ka\u00e7e,1993-07-08,Albania,Midfielder,right,171
1879,Du\u0161an,Basta,1984-08-18,Serbia,Defender,right,185
1880,Jean-Claude,Billong,1993-12-28,France,Defender,right,192
1881,Gauthier,Banaziak,1997-05-25,France,Goalkeeper,"""""",183
1882,Takuma,Asano,1994-11-10,Japan,Forward,right,173
1883,Kelvin,Amian Adou,1998-02-08,France,Defender,right,180
1884,Dayotchanculle,Upamecano,1998-10-27,France,Defender,right,185
1885,Jean-Victor,Makengo,1998-06-12,France,Midfielder,left,177
1886,Yann,Karamoh,1998-07-08,C\u00f4te d'Ivoire,Forward,right,185
1887,Rafael Alexandre,Fernandes Ferreira da Silva,1993-05-17,Portugal,Midfielder,right,171
1888,John Stiven,Mendoza Valencia,1992-06-27,Colombia,Forward,left,171
1889,Anthony,Mandrea,1996-12-25,France,Goalkeeper,right,186
1890,Hugo,Lloris,1986-12-26,France,Goalkeeper,left,188
1891,Anthony,Lopes,1990-10-01,France,Goalkeeper,left,184
1892,R\u00e9my,Vercoutre,1980-06-26,France,Goalkeeper,right,185
1893,Bakary,Kon\u00e9,1988-04-27,Burkina Faso,Defender,right,188
1894,Dejan,Lovren,1989-07-05,Croatia,Defender,right,188
1895,Samuel Yves,Umtiti,1993-11-14,Cameroon,Defender,left,182
1896,Mehdi,Zeffane,1992-05-19,France,Defender,right,176
1897,Jordan,Ferri,1992-03-12,France,Midfielder,right,172
1898,Maxime,Gonalons,1989-03-10,France,Midfielder,right,187
1899,Yoann,Gourcuff,1986-07-11,France,Midfielder,right,185
1900,Cl\u00e9ment,Grenier,1991-01-07,France,Midfielder,right,186
1901,Kim,K\u00e4llstr\u00f6m,1982-08-24,Sweden,Midfielder,left,185
1902,Alassane,Pl\u00e9a,1993-03-10,France,Forward,right,181
1903,Jimmy,Briand,1985-08-02,France,Forward,right,181
1904,Alphonse,Ar\u00e9ola,1993-02-27,France,Goalkeeper,right,195
1905,Salvatore,Sirigu,1987-01-12,Italy,Goalkeeper,right,192
1906,Milan,Bi\u0161evac,1983-08-31,Serbia,Defender,right,185
1907,Christophe,Jallet,1983-10-31,France,Defender,right,178
1908,Lo\u00efck,Landre,1992-05-05,France,Defender,right,182
1909,M\u00edchel,Macedo Rocha Machado,1990-02-15,Brazil,Defender,right,176
1910,Mathieu,Bodmer,1982-11-22,France,Defender,right,190
1911,Blaise,Matuidi,1987-04-09,France,Midfielder,left,175
1912,Thiago,Motta,1982-08-28,Brazil,Midfielder,left,187
1913,Javier Mat\u00edas,Pastore,1989-06-20,Argentina,Midfielder,right,187
1914,Kalifa,Coulibaly,1991-08-21,Mali,Forward,right,197
1915,Kevin,Gameiro,1987-05-09,France,Forward,right,172
1916,S\u00e9bastien,Corchia,1990-11-01,France,Defender,right,176
1917,Franco,Armani,1986-01-16,Argentina,Goalkeeper,right,189
1918,J\u00e9r\u00f4me,Roussillon,1993-01-06,France,Defender,left,175
1919,Ryad,Boudebouz,1990-02-19,France,Midfielder,left,177
1920,Breel-Donald,Embolo,1997-02-14,Cameroon,Forward,right,184
1921,Vincent,Nogueira,1988-01-16,France,Midfielder,right,170
1922,Sanjin,Prci\u0107,1993-11-20,France,Midfielder,right,181
1923,Abdoul Razzagui,Camara,1990-02-20,Guinea,Midfielder,left,178
1924,Juan Fernando,Quintero Paniagua,1993-01-18,Colombia,Midfielder,left,169
1925,Thomas,Monconduit,1991-02-10,France,Midfielder,right,184
1926,Georges Constant,Mandjeck,1988-12-09,Cameroon,Midfielder,right,185
1927,Soualiho,Me\u00eft\u00e9,1994-03-17,France,Midfielder,right,187
1928,S\u00e9bastien,Haller,1994-06-22,France,Forward,right,190
1929,Paul-Georges,Ntep de Madiba,1992-07-29,Cameroon,Midfielder,right,180
1930,Yaya,Sanogo,1993-01-27,France,Forward,right,191
1931,Maxime,Dup\u00e9,1993-03-04,France,Goalkeeper,right,186
1932,Erwin,Zelazny,1991-09-22,France,Goalkeeper,right,186
1933,L\u00e9vy Koffi,Djidji,1992-11-30,France,Defender,right,184
1934,Jonathan,Martins-Pereira,1986-01-30,France,Defender,right,182
1935,Daniel Alejandro,Torres Rojas,1989-11-15,Colombia,Midfielder,right,183
1936,Vincent,Bessat,1985-11-08,France,Midfielder,left,178
1937,Issa,Cissokho,1985-02-23,France,Defender,right,173
1938,Jordan,Veretout,1993-03-01,France,Midfielder,right,178
1939,Steve,Mandanda,1985-03-28,Congo DR,Goalkeeper,right,185
1940,C\u00e9sar,Azpilicueta Tanco,1989-08-28,Spain,Defender,right,178
1941,J\u00e9r\u00e9my,Morel,1984-04-02,France,Defender,left,172
1942,Nicolas,N'Koulou,1990-03-27,Cameroon,Defender,right,184
1943,Morgan,Amalfitano,1985-03-20,France,Midfielder,right,176
1944,Lo\u00efc,R\u00e9my,1987-01-02,France,Forward,right,185
1945,Jaroslav,Pla\u0161il,1982-01-05,Czech Republic,Midfielder,right,184
1946,Gr\u00e9gory,Sertic,1989-08-05,France,Midfielder,right,183
1947,Cheick Tidiane,Diabat\u00e9,1988-04-25,Mali,Forward,right,194
1948,Henri,Saivet,1990-10-26,Senegal,Midfielder,right,175
1949,Emiliano,Sala,1990-10-30,Argentina,Forward,right,187
1950,Perparim,Hetemaj,1986-12-12,Kosovo,Midfielder,right,175
1951,Chaouki,Ben Saada,1984-07-01,France,Midfielder,left,170
1952,Miguel \u00c1ngel,Borja Hern\u00e1ndez,1993-01-26,Colombia,Forward,right,183
1953,Thorgan,Hazard,1993-03-29,Belgium,Forward,right,174
1954,Geoffrey,Kondogbia,1993-02-15,France,Midfielder,left,188
1955,Ludovic,Baal,1986-05-24,French Guiana,Defender,left,176
1956,Stefan,Posch,1997-05-14,Austria,Defender,right,188
1957,Beno\u00eet,Costil,1987-07-03,France,Goalkeeper,right,187
1958,Abdoulaye,Diallo,1992-03-30,France,Goalkeeper,right,191
1959,Romain,Danz\u00e9,1986-07-03,France,Defender,right,184
1960,Dimitri,Foulquier,1993-03-23,France,Defender,right,183
1961,Abdou Kader,Mangane,1983-03-23,Senegal,Defender,right,193
1962,K\u00e9vin,Th\u00e9ophile Catherine,1989-10-28,France,Defender,right,183
1963,Julien,F\u00e9ret,1982-07-05,France,Midfielder,right,187
1964,Yann,M'Vila,1990-06-29,France,Midfielder,right,182
1965,Vincent,Pajot,1990-09-18,France,Midfielder,right,180
1966,Sergio,Pellissier,1979-04-12,Italy,Forward,right,175
1967,St\u00e9phane,Bahoken,1992-05-28,France,Forward,right,185
1968,Mathieu,Debuchy,1985-07-28,France,Defender,right,177
1969,Lucas,Digne,1993-07-20,France,Defender,left,178
1970,Florent,Balmont,1980-02-02,France,Midfielder,right,168
1971,Bakary Adama,Soumaoro,1992-06-18,France,Defender,right,186
1972,Dimitri,Payet,1987-03-29,Reunion,Midfielder,right,175
1973,Ronny,Rodelin,1989-11-18,Reunion,Forward,right,192
1974,Axel,Werner,1996-02-28,Argentina,Goalkeeper,right,192
1975,Kalidou,Koulibaly,1991-06-20,France,Defender,right,195
1976,Yeni Atito,N'Gbakoto,1992-01-23,France,Forward,right,173
1977,Bouna,Sarr,1992-01-31,France,Midfielder,right,177
1978,Benjamin,Mendy,1994-07-17,France,Defender,left,185
1979,Jonathan,Rivierez,1989-05-18,France,Defender,right,181
1980,Andrea,Raggi,1984-06-24,Italy,Defender,right,187
1981,Yannick,Cahuzac,1985-01-18,France,Midfielder,right,178
1982,Florian,Thauvin,1993-01-26,France,Forward,left,179
1983,Wahbi,Khazri,1991-02-08,France,Midfielder,right,182
1984,Yohann,Pel\u00e9,1982-11-04,France,Goalkeeper,right,196
1985,Aymen,Abdennour,1989-08-06,Tunisia,Defender,left,187
1986,Daniel,Congr\u00e9,1985-04-05,France,Defender,right,185
1987,Cheikh,M'Bengue,1988-07-23,France,Defender,left,182
1988,Steeve,Yago,1992-12-16,France,Defender,right,180
1989,Wissam,Ben Yedder,1990-08-12,France,Forward,right,170
1990,\u00c9tienne,Didot,1983-07-24,France,Midfielder,right,176
1991,Franck,Tabanou,1989-01-30,France,Midfielder,left,178
1992,Emmanuel,Rivi\u00e8re,1990-03-03,Martinique,Forward,right,182
1993,Benjamin,Andr\u00e9,1990-08-03,France,Midfielder,right,180
1994,Paul,Lasne,1989-01-16,France,Midfielder,left,186
1995,Fr\u00e9d\u00e9ric,Sammaritano,1986-03-23,France,Midfielder,right,162
1996,Yoann,Andreu,1989-05-03,France,Defender,right,178
1997,Kylian,Mbapp\u00e9 Lottin,1998-12-20,France,Forward,right,178
1998,Faouzi,Ghoulam,1991-02-01,France,Defender,left,188
1999,Isma\u00ebl Ti\u00e9moko,Diomand\u00e9,1992-08-28,C\u00f4te d'Ivoire,Midfielder,right,183
2000,Max-Alain,Gradel,1987-11-30,C\u00f4te d'Ivoire,Forward,right,177
2001,Josuha,Guilavogui,1990-09-19,France,Midfielder,right,188
2002,Lo\u00efc,Perrin,1985-08-07,France,Defender,right,181
2003,Yoric,Ravet,1989-09-12,France,Midfielder,right,178
2004,Thomas,Heurtaux,1988-07-03,France,Defender,right,183
2005,J\u00e9r\u00e9my,Sorbon,1983-08-05,France,Defender,right,183
2006,Fay\u00e7al,Fajr,1988-08-01,France,Midfielder,right,178
2007,Romain,Hamouma,1987-03-29,France,Forward,right,178
2008,Benjamin,Nivet,1977-01-02,France,Midfielder,right,178
2009,M'Baye Babacar,Niang,1994-12-19,France,Forward,right,184
2010,Denis,Petri\u0107,1988-05-24,Slovenia,Goalkeeper,right,187
2011,Julian,Palmieri,1987-12-17,France,Defender,left,170
2012,Nicolas,de Roussel de Pr\u00e9ville,1991-01-08,France,Forward,right,182
2013,Mamadou,Samassa,1990-02-16,France,Goalkeeper,right,198
2014,Fran\u00e7ois,Bellugou,1987-04-25,France,Defender,right,188
2015,Charly,Charrier,1986-05-27,France,Midfielder,right,181
2016,Moustapha Elhadji,Diallo,1986-05-14,Senegal,Midfielder,right,192
2017,Thibault,Giresse,1981-05-25,France,Midfielder,left,172
2018,Gilbert Gianelli,Imbula Wanga,1992-09-12,Belgium,Midfielder,left,186
2019,Christophe,Kerbrat,1986-04-02,France,Defender,right,185
2020,Ewandro Felipe,de Lima Costa,1996-03-15,Brazil,Forward,left,176
2021,Ba\u00efssama,Sankoh,1992-03-20,France,Defender,right,180
2022,Abdul Khaled,Akiola Ad\u00e9non,1985-07-28,Benin,Defender,right,180
2023,Jhon Andr\u00e9s,C\u00f3rdoba Copete,1993-05-10,Colombia,Forward,right,185
2024,Laurent,Pionnier,1982-05-24,France,Goalkeeper,right,183
2025,Henri,Bedimo Nsam\u00e8,1984-06-04,Cameroon,Defender,left,180
2026,Mathieu,Deplagne,1991-10-01,France,Defender,right,183
2027,Vitorino,Hilton da Silva,1977-09-13,Brazil,Defender,right,180
2028,Benjamin,Stambouli,1990-08-13,France,Midfielder,right,180
2029,Mapou,Yanga-Mbiwa,1989-05-15,Central African Republic,Defender,right,184
2030,Youn\u00e8s,Belhanda,1990-02-25,France,Midfielder,right,175
2031,R\u00e9my,Cabella,1990-03-08,France,Midfielder,right,171
2032,Bryan,Dabo,1992-02-18,France,Midfielder,right,186
2033,Jonathan,Tinhan,1989-06-01,France,Forward,right,178
2034,Souleymane,Camara,1982-12-22,Senegal,Forward,right,174
2035,Olivier,Giroud,1986-09-30,France,Forward,left,192
2036,Carlos Joel,Salcedo Hern\u00e1ndez,1993-09-29,Mexico,Defender,right,188
2037,Benjamin,Lecomte,1991-04-26,France,Goalkeeper,right,186
2038,Simon,Falette,1992-02-19,France,Defender,left,184
2039,Lamine,Gassama,1989-10-20,France,Defender,right,181
2040,Wesley,Lautoa,1987-08-25,France,Defender,right,182
2041,Cheick,Doukour\u00e9,1992-09-11,C\u00f4te d'Ivoire,Midfielder,right,180
2042,Yann,Jouffre,1984-07-23,France,Midfielder,left,176
2043,Joel Nathaniel,Campbell Samuels,1992-06-26,Costa Rica,Forward,left,178
2044,K\u00e9vin,Monnet-Paquet,1988-08-19,France,Forward,right,184
2045,Gilles,Sunu,1991-03-30,France,Forward,right,181
2046,Landry,Bonnefoi,1983-09-20,France,Goalkeeper,right,184
2047,Julien,Ielsch,1983-03-05,France,Defender,left,173
2048,Jonas,Martin,1990-04-09,France,Midfielder,right,184
2049,Lo\u00efc,Puyo,1988-12-19,France,Midfielder,left,182
2050,Herv\u00e9,Bazile,1990-03-18,France,Forward,left,181
2051,Lionel Jules,Carole,1991-04-12,France,Defender,left,178
2052,Florentin,Pogba,1990-08-19,Guinea,Defender,left,189
2053,Isma\u00ebl,Traor\u00e9,1986-08-18,France,Defender,right,184
2054,Micka\u00ebl,Le Bihan,1990-05-16,France,Forward,right,184
2055,Na\u00efm,Sliti,1992-07-27,France,Midfielder,right,173
2056,Salif,San\u00e9,1990-08-25,France,Defender,right,196
2057,Thomas,Mangani,1987-04-29,France,Midfielder,left,183
2058,Benjamin,Jeannot,1992-01-22,France,Forward,right,183
2059,Brice,Samba,1994-04-25,Congo,Goalkeeper,left,186
2060,Prince-D\u00e9sir,Gouano,1993-12-24,France,Defender,right,186
2061,Maxime,Le Marchand,1989-10-11,France,Defender,left,185
2062,Lo\u00efc,Badiashile Mukinayi,1998-02-05,France,Goalkeeper,right,186
2063,Bruno Miguel,Boialvo Gaspar,1993-04-21,Portugal,Defender,right,176
2064,N\u00e9lson,Cabral Semedo,1993-11-16,Portugal,Defender,right,177
2065,Johan Andr\u00e9s,Mojica Palacio,1992-08-21,Colombia,Defender,left,179
2066,Claudio,Beauvue,1988-04-16,Guadeloupe,Forward,right,174
2067,Robin,Zentner,1994-10-28,Germany,Goalkeeper,right,194
2068,Djibril,Sidib\u00e9,1992-07-29,France,Defender,right,182
2069,Quentin,Othon,1988-03-27,France,Midfielder,left,162
2070,Jessy,Moulin,1986-01-13,France,Goalkeeper,right,185
2071,Romain,Sa\u00efss,1990-03-26,France,Midfielder,left,190
2072,Alexandre,Letellier,1990-12-11,France,Goalkeeper,right,193
2073,Vincent,Manceau,1989-07-10,France,Defender,right,176
2074,F\u00e9r\u00e9bory,Dor\u00e9,1990-01-21,Congo,Forward,right,194
2075,Sabri,Toufiqui,1997-03-30,France,Midfielder,"""""",173
2076,Nicolas,Pallois,1987-09-19,France,Defender,left,189
2077,Zin\u00e9dine,Machach,1996-01-05,France,Midfielder,right,184
2078,Anthony,Gon\u00e7alves,1986-03-06,France,Midfielder,right,178
2079,Cristiano,Lombardi,1995-08-19,Italy,Forward,right,179
2080,A\u00efssa,Mandi,1991-10-22,France,Defender,right,184
2081,Romain,Amalfitano,1989-08-27,France,Midfielder,right,175
2082,Lucas,Deaux,1988-12-26,France,Midfielder,right,188
2083,Leonardo,Spinazzola,1993-03-25,Italy,Midfielder,right,186
2084,Antonio,Santurro,1992-02-29,Italy,Goalkeeper,right,192
2085,Paul,Baysse,1988-05-18,France,Defender,right,185
2086,Santiago Juan,Gentiletti Selak,1985-01-09,Argentina,Defender,left,182
2087,Luca,Rossettini,1985-05-09,Italy,Defender,right,187
2088,Philipp,Lienhart,1996-07-11,Austria,Defender,right,185
2089,Rodney,Wallace Burns,1988-06-17,Costa Rica,Midfielder,left,182
2090,Baptiste,Reynet,1990-10-28,France,Goalkeeper,right,185
2091,Abdoulaye,Bamba,1990-04-25,C\u00f4te d'Ivoire,Defender,right,182
2092,Samuel,Souprayen,1989-02-02,Reunion,Defender,left,187
2093,C\u00e9dric,Varrault,1980-01-30,France,Defender,right,182
2094,Sekou,Baradji,1984-04-24,France,Midfielder,left,183
2095,Benjamin,Corgnet,1987-04-06,France,Midfielder,right,180
2096,Ga\u00ebl,Kakuta,1991-06-21,France,Midfielder,left,173
2097,Younousse,Sankhar\u00e9,1989-09-10,France,Midfielder,left,184
2098,Damien,Da Silva,1988-05-17,France,Defender,right,184
2099,Bernard,Tekpetey,1997-09-03,Ghana,Forward,right,172
2100,Guy Adolphe,N'Gosso Massouma,1985-01-11,Cameroon,Midfielder,right,185
2101,J\u00e9r\u00e9my,Cordoval,1990-01-12,France,Defender,right,167
2102,Taulant Ragip,Xhaka,1991-03-28,Switzerland,Midfielder,right,172
2103,Pol Mikel,Lirola Kosok,1997-08-13,Spain,Defender,right,183
2104,Ozan,Tufan,1995-03-23,Turkey,Midfielder,right,179
2105,Kenny,Lala,1991-10-03,France,Defender,right,178
2106,Renaud,Cohade,1984-09-29,France,Midfielder,right,180
2107,Mathieu,Dossevi,1988-02-12,France,Midfielder,right,172
2108,Carlos Alberto,S\u00e1nchez Moreno,1986-02-06,Colombia,Midfielder,right,182
2109,Romain,Genevois,1987-10-28,Haiti,Defender,right,182
2110,Prince,Oniangu\u00e9,1988-11-04,France,Midfielder,right,190
2111,Jeremy,Blayac,1983-06-13,France,Forward,right,187
2112,Billy,Ketkeophomphone,1990-03-24,France,Forward,right,180
2113,Anton,Miranchuk,1995-10-17,Russia,Midfielder,right,183
2114,R\u00e9gis,Gurtner,1986-12-08,France,Goalkeeper,right,183
2115,Marcelo,Brozovi\u0107,1992-11-16,Croatia,Midfielder,right,181
2116,Yannis,Salibur,1991-01-21,France,Midfielder,left,177
2117,Diafra,Sakho,1989-12-24,Senegal,Forward,right,184
2118,Arnaud,Souquet,1992-02-12,France,Defender,right,179
2119,Karl,Toko Ekambi,1992-09-14,France,Forward,right,183
2120,Daniel,Wass,1989-05-31,Denmark,Midfielder,right,181
2121,Alexandre,Oukidja,1988-07-19,France,Goalkeeper,right,185
2122,Chang-Hoon,Kwon,1994-06-30,Korea Republic,Midfielder,left,174
2123,Federico,Peluso,1984-01-20,Italy,Defender,left,188
2124,Ambroise,Oyongo Bitolo,1991-06-22,Cameroon,Defender,left,175
2125,Luca,Cigarini,1986-06-20,Italy,Midfielder,right,175
2126,Jakub,Jankto,1996-01-19,Czech Republic,Midfielder,left,184
2127,Ludovic,Butelle,1983-04-03,France,Goalkeeper,right,188
2128,Simone,Edera,1997-01-09,Italy,Forward,left,174
2129,Idriss,Saadi,1992-02-08,France,Forward,right,179
2130,Robert,Bauer,1995-04-09,Germany,Defender,right,183
2131,Florian,Grillitsch,1995-08-07,Austria,Midfielder,right,187
2132,Mathieu,Michel,1991-09-04,France,Goalkeeper,right,188
2133,Maxime,Poundj\u00e9,1992-08-16,France,Defender,left,180
2134,\u00d3scar Esau,Duarte Gait\u00e1n,1989-06-03,Nicaragua,Defender,right,186
2135,Levin Mete,\u00d6ztunali,1996-03-15,Germany,Midfielder,right,184
2136,Nicolas,Benezet,1991-02-24,France,Midfielder,right,170
2137,Yeltsin Ignacio,Tejeda Valverde,1992-03-17,Costa Rica,Midfielder,right,177
2138,Bobby,Allain,1991-11-28,France,Goalkeeper,"""""",185
2139,Jean-Christophe,Bouet,1983-07-21,France,Goalkeeper,right,184
2140,Mathieu,Gorgelin,1990-08-05,France,Goalkeeper,left,187
2141,Rick,Karsdorp,1995-02-11,Netherlands,Defender,right,182
2142,Giancarlo,Gonz\u00e1lez Castro,1988-02-08,Costa Rica,Defender,right,186
2143,Matthieu,Dreyer,1989-03-20,France,Goalkeeper,right,188
2144,Sergio,Arribas Bl\u00e1zquez,1995-07-07,Spain,Midfielder,"""""",0
2145,Jefferson Andr\u00e9s,Lerma Sol\u00eds,1994-10-25,Colombia,Midfielder,right,179
2146,Danilo,Cataldi,1994-08-06,Italy,Midfielder,right,180
2147,Luca,Crecco,1995-09-06,Italy,Midfielder,left,183
2148,Keita,Bald\u00e9 Diao,1995-03-08,Spain,Forward,right,181
2149,David,Alba Fern\u00e1ndez,1999-05-05,Spain,Defender,"""""",0
2150,Youssef,A\u00eft Bennasser,1996-07-07,France,Midfielder,right,184
2151,Yerry Fernando,Mina Gonz\u00e1lez,1994-09-23,Colombia,Defender,right,195
2152,Sergio Duvan,C\u00f3rdova Lezama,1997-01-10,Venezuela,Forward,right,188
2153,Lebogang,Phiri,1994-11-09,South Africa,Midfielder,right,173
2154,J\u00falio,Tavares,1988-11-19,Cape Verde Islands,Forward,right,187
2155,Charalampos,Lykogiannis,1993-10-22,Greece,Defender,left,186
2156,Vassilis,Torosidis,1985-06-10,Greece,Defender,right,186
2157,Amir,Abedzadeh,1993-04-26,Iran,Goalkeeper,right,186
2158,Kevin,Mirallas,1987-10-05,Belgium,Midfielder,right,182
2159,Ga\u00ebtan,Bussmann,1991-02-02,France,Defender,left,184
2160,Anto,Grgic,1996-11-28,Switzerland,Midfielder,right,188
2161,Konstantinos,Manolas,1991-06-14,Greece,Defender,right,189
2162,Vitorino Gabriel,Pacheco Antunes,1987-04-01,Portugal,Defender,left,176
2163,Dimitrios,Siovas,1988-09-16,Greece,Defender,left,192
2164,Guillermo Alfonso,Marip\u00e1n Loaysa,1994-05-06,Chile,Defender,right,193
2165,Victorio Maximiliano,Pereira P\u00e1ez,1984-06-08,Uruguay,Defender,right,173
2166,Yuri,Lodygin,1990-05-26,Russia,Goalkeeper,right,187
2167,St\u00e9phane,Darbion,1984-03-22,France,Midfielder,left,183
2168,Rodrigo,Moreno Machado,1991-03-06,Brazil,Forward,left,182
2169,Naby Deco,Ke\u00efta,1995-02-10,Guinea,Midfielder,right,172
2170,Pablo Ezequiel,De Blasis,1988-02-04,Argentina,Forward,right,165
2171,Angelo,Fulgini,1996-08-20,C\u00f4te d'Ivoire,Midfielder,right,183
2172,Davide,Calabria,1996-12-06,Italy,Defender,right,176
2173,Kevin,Bonifazi,1996-05-19,Italy,Defender,right,187
2174,Andi,Lila,1986-02-12,Albania,Midfielder,right,186
2175,Leon,Bailey Butler,1997-08-09,Jamaica,Forward,left,180
2176,Mikel,Oyarzabal Ugarte,1997-04-21,Spain,Midfielder,left,181
2177,Giuseppe,Pezzella,1997-11-29,Italy,Defender,left,185
2178,Marlon,Frey,1996-03-24,Germany,Midfielder,right,180
2179,Joshua,Kimmich,1995-02-08,Germany,Defender,right,176
2180,Jannik,Huth,1994-04-15,Germany,Goalkeeper,right,184
2181,Mattia,Caldara,1994-05-05,Italy,Defender,right,187
2182,Julian,Weigl,1995-09-08,Germany,Midfielder,right,186
2183,Marius,Wolf,1995-05-27,Germany,Midfielder,right,187
2184,Michael,Zetterer,1995-07-12,Germany,Goalkeeper,right,187
2185,Gerrit,Holtmann,1995-03-25,Germany,Midfielder,left,183
2186,Raphael,Framberger,1995-09-06,Germany,Defender,right,179
2187,Erik,Thommy,1994-08-20,Germany,Midfielder,right,174
2188,Marlos,Moreno Dur\u00e1n,1996-09-20,Colombia,Forward,right,173
2189,Julio,Gracia Gallardo,1998-02-10,Spain,Midfielder,right,170
2190,Rub\u00e9n,Duarte S\u00e1nchez,1995-10-18,Spain,Defender,left,180
2191,Aleksandr,Golovin,1996-05-30,Russia,Midfielder,right,180
2192,Enrico,Brignola,1999-07-08,Italy,Forward,left,180
2193,Jos\u00e9 Luis,Morales Nogales,1987-07-23,Spain,Midfielder,right,180
2194,Giovani,Lo Celso,1996-04-09,Argentina,Midfielder,left,177
2195,Nikola,Maksimovi\u0107,1991-11-25,Serbia,Defender,right,193
2196,Trent,Sainsbury,1992-01-05,Australia,Defender,right,183
2197,Diego,Hern\u00e1ndez Barriuso,1995-09-19,Spain,Midfielder,right,188
2198,R\u00faben,Santos Gato Alves Dias,1997-05-14,Portugal,Defender,right,187
2199,Lukas,Klostermann,1996-06-03,Germany,Defender,right,189
2200,Benjamin,Henrichs,1997-02-23,Germany,Defender,right,183
2201,Gian-Luca,Waldschmidt,1996-05-19,Germany,Forward,left,181
2202,Aziz Eraltay,Behich,1990-12-16,Australia,Defender,left,170
2203,Vuka\u0161in,Jovanovi\u0107,1996-05-17,Serbia,Defender,right,188
2204,Luka,Jovi\u0107,1997-12-23,Bosnia-Herzegovina,Forward,right,181
2205,Rapha\u00ebl Adelino Jos\u00e9,Guerreiro,1993-12-22,France,Defender,left,170
2206,Thomas,Lemar,1995-11-12,Guadeloupe,Midfielder,left,170
2207,Jo\u00e3o Pedro,Cavaco Cancelo,1994-05-27,Portugal,Defender,right,182
2208,Jonathan Mat\u00edas,Urretavizcaya da Luz,1990-03-19,Uruguay,Midfielder,right,174
2209,Andr\u00e9 Miguel,Valente Silva,1995-11-06,Portugal,Forward,right,182
2210,Felix,Passlack,1998-05-29,Germany,Midfielder,right,170
2211,Yoshinori,Muto,1992-07-15,Japan,Forward,right,179
2212,Darko,Lazovi\u0107,1990-09-15,Serbia,Midfielder,right,181
